,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63
cell_522,0.9905129,-2.1570408,-1.8830607,0.98272085,-1.460907,2.1599996,-0.35117266,2.371773,-1.4168545,1.3884404,2.063551,-0.8685364,-1.8435259,-0.01515194,-1.610906,0.6375461,-1.1640851,-1.9457304,0.5639706,2.302981,2.7923968,-1.4138122,1.727645,0.97299427,1.3781172,-1.4991643,1.3327333,-0.90198064,0.901651,-2.2790494,-1.6112198,-2.3182704,2.7272506,1.7831355,1.4857137,-2.1040578,1.0276062,-0.086060226,1.5225773,2.0032723,2.380014,-0.04367532,2.6362915,-0.52743447,1.8464661,1.137494,-0.16298355,2.8994434,3.0955164,1.8003579,-1.3508047,-1.7204542,0.8423954,-1.7446079,1.1581091,-1.2106645,1.5459807,-2.342727,2.9185028,0.5318964,1.5195328,1.1098222,1.907232,-2.6479366
cell_523,0.5394129,1.5604262,-1.3820328,0.7172766,-1.0468769,-0.030783862,1.5392482,-0.20792525,1.7665973,0.5498332,1.8173006,0.4868043,-0.65139365,0.44158375,1.1515961,1.2461175,-1.0859616,1.184085,0.8397531,-0.29604092,-1.7742486,0.70869124,1.668359,0.5678517,0.95070237,1.1606365,-0.93883014,-0.19427267,1.4479084,-1.5568306,-0.9369956,-0.22483036,-0.16404739,-0.41932914,0.6456856,0.34226513,0.7800511,1.1344951,0.96285796,2.0467885,-0.7650823,-0.6593646,1.6901191,1.2205646,-1.2239852,-1.7966088,0.812186,-1.003255,1.6247847,0.36390477,-0.59336025,0.72088146,1.1132318,1.0063735,-0.4250406,0.7818502,-0.6847095,-0.93326616,-0.9882562,-0.33044022,0.46514848,-1.6043085,-1.5757494,1.3944259
cell_524,-0.1133211,-0.86048764,0.49741513,0.4204003,-0.8913696,-0.7383416,1.1306454,0.270987,0.47475258,0.105228856,1.3639344,-0.8298851,0.4284188,-0.3073243,0.94985676,0.040744796,-1.7106422,1.0970824,0.98905444,-0.36112553,0.027624354,-0.6561017,0.14848046,1.0994482,-1.3213202,-1.5411078,-0.22387275,1.7935722,-0.07577254,-0.07917461,0.9179479,1.4174058,0.8210003,-0.5644675,-1.6161752,-0.62109673,0.45564398,-0.5869853,-2.2572958,0.89765376,-0.77013695,0.9195195,0.01379472,0.7489529,-1.0282726,-0.27959472,1.2997226,0.94215107,-2.0013137,1.6802857,0.4328606,-1.2046583,-1.4060435,-0.25306448,-1.4087721,0.12659824,1.2587231,1.4160519,0.8450378,0.19561194,-0.54297626,-0.66205466,0.6888193,-2.3441331
cell_525,1.6073443,1.7316669,1.2278888,1.0187005,-1.3025985,-1.0579928,-0.566319,1.8284441,0.2510566,-1.4005485,0.037065923,-1.139205,-1.5916628,-1.8390409,1.9177384,1.3640528,0.29210398,0.46561864,0.33814493,1.1885867,-0.15867794,-0.91255605,-1.1196668,-0.032677926,-1.2952387,-0.5973206,-0.70934707,1.4486772,-1.6229123,-2.2716854,1.9001893,0.33310235,-0.0816994,-0.094277315,-1.4895381,-0.5315912,-1.2920907,-1.0601839,1.8498118,-0.73158854,-1.0621258,-0.6710525,-0.9034603,-0.76192784,-1.7561682,-0.52707356,0.55434984,0.16741194,-0.27122852,-0.11477834,-0.4201097,-0.7374356,-1.1639531,0.7744576,-1.4699224,-1.9340303,-0.29335433,-0.24846657,1.5354882,2.826373,0.7192077,-0.022303678,-0.41897503,0.031123996
cell_526,-1.0154563,-0.81158245,-1.0525686,1.4583706,0.65369976,-1.2484572,-1.0553671,-0.6586182,0.50311255,0.40305454,1.0164024,-0.8003568,0.5115048,-1.3302686,-0.35600644,1.3592392,-1.5054306,0.3619866,1.1915693,-0.22738415,1.7026511,-0.8231212,0.53765285,-0.9791951,-1.5625746,-1.4568495,-0.29426858,1.3646843,1.4569533,0.08761748,1.5727577,0.5733312,0.90553236,-1.1991196,-1.1246239,0.8404947,1.1380863,0.81850433,-0.3217154,-1.2569464,-1.2062676,0.0015506223,0.46849743,1.8072238,-1.8934599,0.76333326,-0.9351264,1.0563054,-0.3171971,0.16006356,1.457178,-1.6653526,0.31410578,1.0143477,-1.2107478,-0.45189244,0.7959853,1.8612621,-0.35652047,-0.11639786,-1.8192089,0.20223068,0.6948925,0.5165452
cell_527,-1.0644584,1.2961996,-1.483664,-0.9902877,-1.7069545,1.1152841,0.08310085,1.3911619,2.1422877,-2.4864452,-1.1809957,-1.199095,-1.4156215,1.156542,-1.2348883,0.9193426,0.8899052,0.8192892,1.9493127,1.2719488,1.8346308,0.4156833,-0.0837927,-1.3412268,-1.999722,-2.2152877,1.3974404,2.1179006,1.3252001,0.82010293,0.068631135,-1.0775566,-0.64626366,-1.0998849,0.5841748,-1.5165333,-1.0704952,1.8778591,0.82830995,-0.66557187,1.531105,1.1864669,0.93534625,2.0232408,0.9219512,-1.9199203,-0.71111244,-0.11154676,1.0994921,-1.7234218,-1.9544055,0.88951474,-1.7044834,1.1336478,1.195471,2.2973542,-0.64650846,-0.1535185,1.5172172,0.7076911,-1.8514624,0.5414193,0.39612204,1.579294
cell_528,1.2896136,2.0038984,0.6961187,0.72242177,-1.6057053,-1.1814512,-0.21403036,0.52779263,-0.6568879,-1.4386687,-0.48261806,-0.6269542,-1.7235701,-0.7396948,1.7198966,1.7118605,-1.4268565,-0.20057082,1.4614587,0.94035125,0.19450247,-1.02422,-0.9892783,0.7744951,-0.8524877,-0.0677914,0.44255805,-0.37990838,-0.8006818,-2.0710504,0.5793916,-1.0584227,-1.4766747,-0.396327,-0.92658687,0.7530536,-1.1653318,-0.67060065,1.1177146,-0.34478846,-1.2729554,-1.6337421,-0.7606869,-0.11803769,-1.860399,-0.39486182,1.1563455,-0.74991333,-0.91411746,-1.5701001,0.9232031,-0.7321975,-1.6307805,-0.8207128,-1.2878515,-1.2051866,0.6579641,0.2268071,1.3632677,1.319423,0.42466086,-1.5764184,0.5686638,0.7085067
cell_529,-0.06924415,-1.2220463,-0.9818923,0.97955465,0.98515093,-0.7634092,-1.676235,-0.29800788,0.44447035,0.36665967,0.46002787,-1.0124431,0.6006823,-1.0617088,-1.3708737,1.1813545,-1.0813558,0.53778833,0.9607413,-1.6490544,1.2019529,-0.7300158,1.105187,0.4264989,-1.1197437,-1.5808637,0.040067345,1.6085604,1.3512795,0.5137145,0.49545193,1.0677402,0.71233916,-0.7904395,-0.88411963,0.5940301,1.4934965,1.1784012,-1.4415386,-1.1727052,-1.0238295,0.823749,1.1750834,1.7477179,-0.62159157,0.71170753,-1.1729012,1.1912757,-0.7138631,0.5220553,0.5573485,-1.4502045,0.36076063,0.91733205,-1.2953444,0.35071892,0.63789445,1.5579139,-0.7222292,-0.7770682,-1.4159998,1.1031908,0.6703532,0.03166406
cell_530,1.1579046,-0.40868115,0.27210224,0.4468367,-1.1450566,-0.57589734,0.052364618,2.1088398,3.42663,-0.75193214,0.36780992,0.7377809,-0.7295723,-1.1665337,-0.47117847,-0.5852241,0.43360716,2.3832026,-1.0040116,0.092072934,-0.0640744,1.0056051,0.09866606,-1.3003442,-0.5893406,-1.8689733,-0.12220144,2.472677,0.50096416,-1.699141,-0.7040724,0.6319658,0.79583454,0.7475921,-0.97052515,-3.2118716,0.043239966,-0.7400857,-0.73480034,1.8857176,-0.91839254,-1.6189533,1.0702859,1.6291738,-0.57706773,-1.5380594,0.45948106,0.41050145,0.78700936,1.4678571,-1.7858998,1.5694828,-1.4933459,1.4818566,-0.3704843,1.4236584,0.031753868,0.09259233,-0.20164043,2.1873355,-0.4561159,-1.1297961,-2.111268,-0.08791293
cell_531,2.3896654,1.2970338,-0.26821908,0.48407906,-0.90101784,-0.6216468,1.5258952,-0.7299123,2.104245,0.12625188,1.8620807,0.1959146,-1.2424877,1.194033,1.3952705,1.7097795,-1.4520221,1.0508431,2.2095807,-0.4691553,-0.3133877,6.083399e-05,1.6077725,1.0122803,0.23439765,0.8438809,-1.6346483,-0.0011456236,1.0064352,-1.063984,-0.6528898,-0.8709724,-0.9537878,-0.12243797,0.3113504,1.3382486,1.3054636,0.6639951,0.46788746,1.2859522,-0.49791217,-1.9817642,0.92044115,1.272196,-1.4527841,-1.4091647,1.0674416,-1.1407663,1.0507481,-0.7066356,1.6646943,0.75003266,0.45619312,0.40448916,-1.8974773,1.4084857,-1.2900474,-0.973549,0.108585194,-1.1210561,0.34694284,-1.4331243,-1.0309123,0.8015602
cell_532,1.5167834,0.39266753,0.95302373,0.5483197,-1.8429377,-1.2061805,0.8963762,2.273341,1.0890932,0.55151385,1.6289561,-0.50066,-0.1457457,-1.3032528,1.7358857,1.4767681,0.9826132,1.6524547,-0.15367675,1.3587431,-0.9627822,0.43247348,-0.833785,-1.374325,-1.1548618,-1.7851849,-0.9072842,2.450771,-0.8631289,-1.3319471,1.1044383,0.95325404,1.7488344,1.1288968,-1.6050397,-1.2402344,-0.08739084,-0.6833284,1.067598,-0.6568026,-1.7580351,0.4834302,-0.6314611,-0.64539397,-1.351272,-2.0205367,-0.1766567,1.071937,0.4826716,1.3554265,-1.8070588,0.352056,-1.2632636,1.3976389,-1.227439,-1.2784398,-0.9314812,-1.196651,2.05598,1.9282823,0.4400418,0.93641037,-1.6476743,-2.2459097
cell_533,1.7369685,1.0816354,-1.0186218,0.6951184,-0.69298995,-0.79394865,0.5068804,-0.62746346,2.1349156,0.6138933,1.6886766,1.1947925,-1.0006922,0.4878029,0.74241155,1.6087509,-1.5280492,1.1473743,1.5981469,0.6304427,-1.1422126,0.5784873,1.81065,0.9389405,0.6912306,0.70415115,-1.3529292,0.17615186,1.1592236,-1.3827066,-0.19806737,-0.49996746,-1.351488,-0.4218911,0.40001902,0.7136676,1.1487195,1.1135424,0.9433707,1.0583427,-1.0942516,-1.1465449,1.2394685,1.3319007,-1.4145478,-1.0499853,0.76531506,-1.1075625,1.0292515,-0.06440559,0.8134231,0.61889356,0.3896609,0.3406614,-1.1112416,1.167453,-1.2417978,-1.0970623,-0.73239547,-0.8704263,0.9666823,-1.8164728,-0.9169876,1.1682187
cell_534,1.4310017,1.7800553,0.78736657,0.61600614,-0.42320955,-0.37598345,-0.7061309,2.171131,-0.53424656,-1.8581024,-0.38938433,-1.8221816,-1.919918,-1.5110766,0.8907716,1.2849565,-0.1674586,-0.68476397,1.5956955,1.5206274,0.1551974,-1.8403466,-1.2796316,0.4563593,-1.1114879,-0.8877298,0.97539246,0.80502576,-1.1036999,-1.742386,1.1281624,-0.7035124,-0.73740077,-0.60080993,-1.673386,0.53136253,-1.9801095,-1.0874368,1.7487354,0.32795662,-0.10569629,-1.7401621,-0.18832985,-0.472013,-1.775861,-0.33926636,0.8636434,-1.230819,-1.1592418,-1.2214231,-0.1044524,-1.1604807,-2.1315374,-0.5567739,-0.9414697,-1.155983,1.0017034,0.41027224,1.8845721,1.0428892,0.607671,-1.0781823,0.6929597,0.17787169
cell_535,-1.3203787,1.6486849,-1.0572392,-0.5375425,-0.53993714,0.86835337,-0.16309886,0.88786095,1.8411382,-1.9909168,-0.9963157,-2.246005,-1.4469119,0.78660536,-0.97951245,1.4069532,0.11765289,1.5543543,1.878424,0.7459447,1.4330873,-0.08510989,0.08598791,-0.84904087,-1.8414772,-2.1304216,1.3798231,2.2473426,1.7254782,0.69714564,-0.27696225,-1.3774397,-0.11723083,-0.6564722,1.0816016,-1.4884166,-0.51197386,2.0820098,1.8341796,-1.0354661,1.2599304,1.1116481,0.98038495,2.2700772,0.2873088,-1.6022332,-0.86242086,0.19431324,2.0140824,-1.7973163,-1.7318211,1.6142875,-1.3208808,1.4884995,0.8118579,1.7043338,-0.7878339,-0.8985549,0.84682167,0.3158423,-1.6346394,1.3061029,0.25732696,0.9958707
cell_536,-0.71962714,-0.87045836,-1.696367,1.0895046,1.3796711,-0.67982745,-0.9841434,-0.4504572,2.7237005,0.73598397,1.3707411,-1.5651438,1.2423004,-1.3805833,-1.1171697,0.78532386,-0.96301717,1.5291396,1.5189549,-1.0761229,0.81692207,-1.057692,1.360524,-0.78452736,-2.0838706,-1.8656201,-0.06538886,2.0328217,0.7327486,0.21703547,2.0426419,1.5404763,0.42072225,-1.2637821,-0.842499,0.53680664,0.7157894,0.9666312,-1.0088836,-0.50643045,-0.49493235,1.4260275,1.0078596,2.3704467,-1.6003666,0.2205311,-0.80119383,1.7784079,0.21898508,0.14928779,0.38623154,-1.7898524,0.037832607,1.2789433,-1.4405912,-0.647241,0.26940382,1.1190203,-0.6084033,-0.6438247,-2.3140404,0.33306897,0.3573605,-0.50259554
cell_537,0.87828994,1.5340123,1.029352,1.0810684,-1.0813842,-1.194924,-0.57906514,1.9256462,-0.5764046,-1.8234545,-1.0469103,-0.83790183,-2.0471232,-1.3352648,1.6150758,1.4394535,-1.3575755,-0.6344973,1.2408355,1.2922776,0.22654738,-1.0575888,-1.4823401,0.97123647,-1.717943,-0.29732376,1.1718082,0.38569006,-0.30424187,-1.880521,1.1394484,-0.5484265,-0.99911916,-0.7801212,-1.6222692,0.50605613,-0.8415572,-1.0248039,1.4187183,0.33842742,-0.77002,-0.84191614,-0.6566487,-0.38786307,-1.2205001,-0.20558082,1.1830851,-1.1189383,-0.81043684,-0.5560146,0.6999744,-1.3794649,-1.6212907,-0.8984238,-1.3527415,-1.3188573,0.9595526,0.41076314,1.5208834,1.7481297,0.4035182,-1.0879136,0.80550814,0.11700867
cell_538,1.6255927,0.18309975,1.3549945,0.41517738,-1.6919086,-0.77719784,1.2550051,2.5388622,2.439794,0.26080444,1.4659569,-0.48479778,0.54585207,-1.3965752,1.2436533,1.2304261,1.3642443,1.4268439,-0.6287825,1.7789164,-1.2722559,0.10947563,-0.7663419,-1.4713969,-0.6869036,-1.8180678,-2.0451565,2.526328,-0.56852436,-1.5821003,1.2974836,1.2588489,1.6381593,1.5293751,-2.1558015,-1.1778349,-0.7143593,-0.49561766,0.6049242,-0.16943198,-0.8770967,0.34357315,-0.7744518,-0.31633037,-1.5502273,-2.0962992,-0.99571586,1.3422107,0.32606488,1.437844,-1.7632698,0.5744086,-1.184803,1.3646959,-1.93397,-1.9163424,-0.9388281,-0.85220945,2.0677152,2.2910933,0.3953335,0.8382765,-1.6965553,-2.0464911
cell_539,-0.8479457,-0.41906658,0.6922852,0.04101315,1.7911747,0.7361543,0.36687598,0.33047768,0.0868783,-2.5819335,-0.71130174,0.13537791,0.14733136,-0.518494,1.4434905,-0.51616895,-1.019409,0.7568444,-0.7619131,-1.9128861,-1.4543693,-0.5959919,-0.8433418,0.85609484,-1.2994148,-0.08986737,1.2668492,0.89747906,0.10458031,-2.6339755,0.6077928,1.8319583,1.8429536,1.5162563,0.96653724,0.029571325,-1.0750499,-1.2592963,0.8701039,2.5292118,-1.1421272,-0.30075914,0.27396744,2.3836293,-0.7411825,0.4169163,-0.030787058,1.7431842,0.5904758,-1.0311146,-1.823359,0.75694656,-0.06267717,1.0258597,0.42693615,1.7237425,-0.2729051,0.20975661,0.033237964,1.2128112,-2.0791855,-0.011926368,-0.78633285,1.487515
cell_540,0.6436621,2.1047447,0.43213886,0.54267186,-1.3431021,-0.23886386,-0.63298523,1.4752123,-1.0533903,-2.3088827,-1.1286829,-0.7960392,-2.1014764,-0.6842123,0.63073075,1.1603512,-1.35283,-0.88000464,1.4845157,0.9956011,0.69357264,-0.98227483,-1.1369102,1.3026835,-1.5100039,-1.1495621,1.3017498,0.4113252,-0.8865435,-1.917937,0.8967201,-1.1016549,-0.9627701,-0.70390546,-1.6637731,0.1702692,-1.0077503,-0.88200974,0.9645073,-0.28193265,-0.7271997,-1.1879622,-0.24084896,-0.4257498,-0.84781945,0.4181833,1.1493894,-0.6213268,-1.082684,-1.0084376,0.2988813,-1.758208,-1.8828801,-1.0447619,-0.5894273,-0.6981835,1.2070243,1.3124243,1.3808157,1.5227361,-0.003167849,-0.8597114,0.9584244,0.29809704
cell_541,1.0290807,1.976798,0.80111957,0.6310251,-1.3655906,-1.0153093,-0.71156025,1.6761202,-0.39699814,-2.0127027,-0.73276937,-0.9540869,-1.4850698,-0.94314075,1.021144,1.1981235,-1.2369382,-0.358036,1.5909505,0.5665431,0.53492093,-1.1627088,-1.3954649,1.2496102,-0.850227,-1.6657474,0.50560856,0.44296122,-0.70664394,-1.8619665,0.9284013,-0.8186536,-0.50218534,-0.8127039,-1.1376004,0.9824557,-0.7920896,-0.84902215,1.1695569,-0.08381184,-0.8131726,-1.3337033,-0.57049257,-0.12696412,-1.7497058,0.06326689,1.5618955,-0.7186742,-0.92127126,-1.1420819,0.84809816,-0.81666154,-1.6749744,-1.089039,-1.4958485,-1.5702686,0.9971713,1.1496985,1.28703,1.2142144,-0.08472365,-1.3911595,0.9482827,0.48045462
cell_542,-1.35828,-0.41814616,-1.6098193,0.98352724,0.8174904,-0.52747184,-0.83995914,-0.043630257,1.9370948,0.57654655,1.5190464,-1.63517,0.83486426,-1.2380275,-0.9990988,1.4566594,-0.9664467,0.8957639,1.4058868,-0.5774164,0.8212475,-1.4071643,1.0965732,-1.175871,-2.130686,-1.6385024,-1.119692,1.9616203,1.4762651,0.48096353,1.7506421,0.97306466,0.9857916,-0.87059426,-0.71200645,0.16787209,0.62652194,0.8421283,-0.48671192,-0.71105665,-0.2569607,1.355824,1.686415,2.238799,-1.1111876,0.24425718,-1.6548508,2.1513507,-0.59938,-0.249995,0.41901696,-1.2911253,5.4210424e-05,1.2827151,-1.0017477,-0.43235922,0.15569055,0.8030332,-0.51720154,-0.838156,-2.2185078,0.6700824,0.83188665,-0.5874903
cell_543,1.3690908,-1.4961865,-1.760428,1.5804676,-1.4536935,1.9486029,-1.2901585,2.2615392,-1.2705029,1.4130319,1.5279692,-1.2805684,-1.6896122,-0.6357872,-1.1900853,-0.12888928,-1.869238,-1.9611493,1.1847365,1.9861798,1.8492446,-1.2522241,1.592444,0.9608176,0.86269945,-1.3273312,2.000887,-0.57638794,0.4029068,-2.0931704,-1.6971709,-1.5807993,2.510671,2.1140976,1.4609046,-2.2611706,1.2174103,0.55059457,1.8295822,1.4534776,2.013509,-0.69307256,2.284817,-0.7102905,1.577951,1.2390323,-0.65501475,2.6668518,2.5345323,1.6086576,-0.9583869,-2.086659,0.9502947,-1.1953685,1.0930567,-1.1377602,1.782107,-2.1920178,2.5460432,0.7657307,0.9227067,1.1622092,2.4043126,-2.033481
cell_544,1.6960115,-1.2153788,-1.5976425,1.296162,1.7807345,-1.260427,-1.2908624,1.770993,1.1370106,-1.9427906,-0.7031078,-0.96086085,-1.7170205,-1.1445212,-1.5142685,-0.25643235,0.6152895,1.7033116,-1.0540774,-0.10318816,1.3602805,0.7828123,0.24763751,-1.9562166,-0.018034726,-2.0712712,0.8307378,2.3105066,1.2838079,-1.8450752,-1.8180177,1.4577073,1.8644089,1.5244505,-0.80078214,-1.1327982,1.110261,-1.0132227,-1.2442667,2.2629786,-1.4877398,-1.3066342,0.3370828,1.1550308,-1.1104428,1.5163325,1.980291,-0.90238076,2.3982298,0.8528306,-1.6789397,1.1163384,-0.29985574,-0.49441996,1.2898076,0.01222285,1.169809,0.51236475,-0.2874149,0.56834656,-1.9706465,-0.97659534,-1.5472037,1.5388601
cell_545,-1.1171646,1.900263,-1.6289842,-0.7384589,-1.4102632,0.9286728,0.17659831,0.7595584,1.4237652,-1.4257467,-0.769691,-0.8708476,-1.5040023,1.4731412,-0.7039983,1.5587705,0.3390919,1.7055826,2.0649025,1.2320368,1.6792694,0.10765064,0.31046158,-1.1120535,-1.6798009,-1.746538,1.0713645,1.9002937,1.6513184,0.63009787,-0.5292924,-0.7802554,-0.9009222,-0.85139704,1.1290447,-1.3793024,-0.4447258,2.2597804,1.2835481,-0.3223384,1.2929904,1.5588285,0.8278886,2.278652,0.18400076,-1.5133644,-0.2605623,-0.17970423,1.4509491,-1.3180054,-1.281197,1.4746766,-1.1203831,1.5924423,0.6551899,2.3764758,-1.4041238,-1.5496386,0.8276373,0.19492713,-1.5164235,0.7398076,0.4780086,1.036639
cell_546,2.214915,-1.6162045,-0.09377667,-0.910099,2.650766,2.277138,0.08124384,2.221991,1.5651776,-0.7721498,1.8076776,-0.2152888,1.1577282,-2.0327158,-2.0000331,-0.057049274,1.7497498,-0.65879864,-0.72170115,-1.1670933,1.9030303,1.9008983,0.9954545,-1.4891652,-2.1947124,0.69560623,0.6082036,0.82114244,1.2968059,-0.16148317,1.4513245,-1.262017,-1.1755277,0.53252393,-1.7115337,-0.09835367,-0.91003275,-1.429213,1.1726668,1.3925235,1.301069,0.3329362,0.5093809,-0.7179128,-1.073332,-0.748912,-0.8585668,0.68722403,0.24636552,1.4408675,-1.9449611,-1.5921996,-2.4239433,-1.2256132,-0.6375217,0.8996123,-1.4591259,-2.1070235,0.4436505,-2.1611614,0.7989563,-2.1198301,-0.9571192,0.32804906
cell_547,1.165761,1.8227493,0.7948128,1.1466367,-1.1350161,-1.0697409,-0.62425613,1.0909722,-0.6233386,-2.347121,-0.96563864,-0.78129804,-1.8240861,-1.3668447,0.78823376,1.5697634,-2.152354,-0.9686697,1.9101917,0.03506863,0.07599825,-0.7418852,-0.82063717,0.559137,-1.7275726,-1.1581539,1.2233515,0.27733663,-0.43187588,-1.5372217,1.2826934,-0.88450783,-1.156715,-0.61566216,-1.8902347,0.18590942,-0.544983,-0.68076205,2.0427494,-0.123082906,-0.99386907,-1.0269848,-0.6282797,-0.3707252,-1.184783,0.95726025,1.3956761,-0.91199243,-0.77142406,-1.4017873,1.4621336,-1.4733293,-0.80728316,-1.4276152,-0.65710056,-0.8686795,1.3028394,1.0821263,1.467209,2.1122367,-0.10603888,-1.3415306,1.7226915,0.3934034
cell_548,1.5237435,1.2580899,-1.0370347,0.62216324,-0.81487846,-0.9687169,0.71737766,-0.5026087,1.0299344,1.0791525,1.5785055,1.1464032,-0.93366474,0.6789613,0.8813337,1.2060951,-1.2342292,1.200018,1.3645333,-0.11099969,-1.3020251,0.7327275,0.86065346,1.2342747,0.88420653,0.41697618,-0.8910184,0.221655,0.7481351,-1.1195365,-0.20025569,-0.2855379,-1.2295182,-0.5291956,0.3123824,1.3669205,1.3449146,1.4645731,0.9917635,1.4091469,-1.2662282,-1.2161608,0.37561244,1.7901372,-1.368221,-1.242713,1.2743509,-1.3093346,1.3447165,0.404881,0.42352217,0.54189134,0.5425216,1.1451325,-0.9977805,0.6207348,-1.1470287,-1.3672961,-1.0049083,-0.747272,0.59992146,-1.2323325,-0.9815429,1.0997124
cell_549,-2.0009046,-0.3185256,-0.40728956,0.931126,1.3611974,-0.6820433,-0.8442495,-0.6217202,1.7757809,0.26545912,0.9515949,-2.05471,1.9708693,-1.9759045,-0.38839048,1.0759503,-1.5207704,0.9825512,1.7780911,-1.2828864,0.8941741,-1.2741255,0.7653369,-0.74660313,-2.042683,-1.96537,-1.3503582,1.8818914,1.3306414,0.3916483,2.3073025,1.252639,0.5217967,-0.17516395,-0.6888742,0.34628206,-0.02648139,-0.027530491,-0.38222396,0.07453406,-0.5622145,0.7676126,1.8143687,2.0795043,-2.255091,0.8067741,-1.2592254,1.4651368,0.13222045,-0.44357356,1.5522034,-2.3555522,0.6920434,0.266202,-1.1105894,-0.4186684,0.9422197,1.1010067,-0.6466643,-0.3172261,-2.4845963,1.1111119,1.3348783,-0.31908688
cell_550,-0.5570041,-1.0265279,-2.2179818,-2.3727624,1.385307,1.6359733,0.8466679,2.1513753,0.0013145839,1.4505067,0.14184847,-2.4243777,0.77639663,-0.86415213,-0.6906625,-1.5515645,1.2320908,2.3765378,-0.12593812,1.015528,1.6408864,-2.6076841,-1.0002726,1.6355635,1.3851585,1.049467,-0.65812546,1.8366952,1.1839007,-2.88619,0.92432415,0.28581092,-1.4094338,-0.6178256,0.54773736,1.3033489,-1.3999833,-1.513263,-0.9527044,2.2766452,2.2810428,2.0316963,1.4093237,-0.042163104,-1.2925851,0.3098529,1.9920425,-1.054012,-0.9103849,0.97037363,-1.0418773,-1.4907672,-2.179038,2.1699734,1.3554397,-1.2106644,-1.7076961,-1.5798378,1.9269526,-0.81726855,1.1130099,-1.6744671,1.2996067,-1.5401547
cell_551,1.8748193,0.35934383,-1.1291759,1.2130258,-0.44586667,-1.401299,0.2906686,-0.8251918,1.8348405,1.3156583,1.3713388,1.4059181,-0.38513505,0.2979367,0.69577616,1.0375022,-0.9917562,0.8201535,0.98895323,0.10490436,-1.048319,1.111696,0.9276249,0.46430898,0.7240307,0.29514545,-1.0022793,0.17666312,0.93374586,-1.7178134,-0.9064348,-0.71290225,-0.86268264,-0.7666791,0.57915276,1.4664108,1.4941485,1.0381368,1.1769829,1.8703201,-1.2684947,-1.2152059,1.1679851,1.3953576,-1.673083,-0.94837403,1.0323361,-1.4102709,1.5004761,0.7354703,0.98570174,1.2463311,0.8452742,1.0269442,-0.56837213,0.8499169,-1.1470509,-0.89307654,-0.89095056,-0.7854318,1.1207426,-1.8173718,-1.3656781,0.81375474
cell_552,0.70213366,1.7271328,1.154793,0.7312368,-1.272375,-0.85502326,-0.876025,1.6184682,-1.0951751,-1.999312,-0.48203203,-1.6735752,-1.7559967,-1.164434,0.9979541,1.3896958,-1.2810858,-0.69856733,1.0097778,1.1914053,0.4713919,-1.519144,-1.1954751,0.75335175,-0.8541925,-0.5262382,0.5456543,-0.39019516,-0.5135708,-1.9871225,1.4332917,-1.3938401,-0.8688719,-0.82773757,-1.7448332,0.6321927,-0.9299544,0.016284764,0.7876487,-0.5905408,-0.94276214,-1.4255972,-0.43290776,-0.72782755,-1.5160975,0.54054314,1.3291014,-1.1374997,-0.32823843,-1.3995275,0.30722976,-1.2724082,-1.606192,-0.20004982,-1.1875771,-0.7282199,0.59525853,1.0769832,1.5779102,1.582824,0.5616838,-0.81592184,1.0977098,0.31696457
cell_553,1.590904,1.6462885,0.5696235,0.8140541,-1.0897399,-1.0161103,-0.77674603,1.6509044,-0.77329063,-1.7226386,-0.9148669,-0.52430785,-1.4902077,-1.0300908,1.1051729,1.3228182,-1.7751307,-1.1921611,1.5357921,0.79642844,0.6967044,-0.90765107,-0.9372048,0.84187704,-1.1149476,-1.1499891,0.74157035,-0.33932418,-0.5155813,-1.7244319,1.1508993,-0.69550586,-0.7477635,-0.70535517,-1.5678831,0.18977934,-0.821727,-0.5642177,1.4815748,-0.29773742,-0.9277006,-1.6474278,-0.17475808,-0.44060305,-1.2676902,-0.28023863,1.1351554,-0.20739025,-0.7163284,-0.97014797,0.59063923,-1.6219742,-1.4689345,-0.6088533,-0.78288954,-1.1633008,0.31255436,0.59169364,1.2615567,1.853874,0.6133935,-1.0348972,1.2042935,0.7793538
