,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63
cell_10,1.414525,1.0876364,0.066839635,-0.45206624,-1.1440597,-0.41463485,1.7344489,-0.47287327,3.0165775,-0.9646128,1.1537814,0.18656528,-0.6750682,2.4824286,0.10302764,1.6083211,-0.89061403,0.9927989,1.7958442,0.4630132,0.1404989,-0.7357524,0.9381071,0.8406613,0.49662983,-0.68412215,-1.4142029,0.6425681,1.0164334,-0.09419389,-1.1937264,-1.0955131,-0.3658416,0.26184103,0.53233707,-0.2152991,0.11159475,1.4397528,-0.0761188,1.3936398,0.49390075,-0.48773453,1.5231328,1.7232397,-0.3098045,-2.6174653,0.1525271,-0.5505514,1.1112107,-1.1538281,0.29181156,1.3988249,-0.23758751,-0.07161519,-1.239307,1.9072254,-1.2337424,-1.0974566,0.41474414,-0.64704806,0.3839481,-0.63825697,-1.2070913,0.19752929
cell_11,1.4521036,1.2196554,-0.5533832,0.7410098,-1.2203628,-1.1946852,0.95193636,-0.0442468,2.2167118,-0.16803616,0.58108014,0.31378293,-1.7636167,0.94370687,0.75856197,1.2702134,-1.5179222,1.1774971,1.7430646,0.3418991,-0.7087364,0.79524666,0.59771717,1.6690373,0.2116265,0.14452696,-1.1448709,-0.24337286,0.95397675,-1.497659,-0.6501943,-1.2905823,-1.424291,-1.0674175,0.23894969,0.6119882,0.587066,0.6808476,1.1700863,0.58944625,-0.8282979,-1.3677843,1.352257,0.7609769,-2.13911,-0.692832,1.1965519,-1.1457375,0.8061773,-0.56357384,1.1125141,0.21552162,0.4098484,0.27704927,-1.5079356,0.3727119,-0.9639029,-0.988255,-0.4497882,-0.58604646,1.1409959,-1.2466823,-0.492115,1.0477222
cell_12,1.9327495,1.6688621,-1.1194807,0.3390172,-1.458214,-0.77672434,0.9096509,-0.4486867,1.5042148,0.2966587,1.7250168,0.56886244,-0.80306953,1.0821722,0.8165118,1.5386906,-0.9895853,1.2756469,1.6329588,0.7552768,-0.4494944,0.45638373,1.013562,0.9370474,0.5970436,0.11612928,-1.7161044,-0.039960776,1.3132827,-1.2073792,-0.54062843,-0.5018247,-1.1081117,-0.3644685,0.68152666,0.64146787,1.5055538,0.61208403,1.3838433,1.0356287,-0.76109815,-1.4538134,1.3428687,1.0799689,-1.3507961,-1.0161606,0.96110934,-1.2275484,1.2367847,-0.4531435,0.88908666,0.81222856,-0.20913294,0.646117,-1.4523066,0.3677168,-1.32315,-0.7764736,-0.5644067,-0.6241121,1.0891386,-1.2088083,-0.66104,1.2761856
cell_13,-1.7430481,0.519607,1.1481689,-0.87897307,1.9064405,0.5847943,0.16476983,-1.2565441,1.5312791,-0.5450051,-0.5117175,-0.31530002,1.5207015,-2.7437286,-0.13170587,0.40190786,-2.1275008,1.1329249,1.8061883,-2.7343173,-1.2125658,0.9452467,-1.4186093,2.1654613,-1.8944929,-0.9376801,-0.1403982,1.9782277,1.3805262,-1.8439342,2.3022754,1.6619709,1.513689,1.4419163,0.8403718,0.15841907,-1.1465071,-0.4776601,0.6656948,1.3362381,0.75299025,-0.90746874,1.1798375,1.4854722,-1.6937995,-0.20045675,0.39822367,2.1079512,1.558246,-1.4357942,-0.7438533,-2.3209474,0.7232852,-1.0981315,0.29265663,1.0085019,1.7487575,-0.17945337,-0.9275812,0.78888744,-2.1466153,1.4087999,0.98811233,-0.30063814
cell_14,-1.7077457,1.9856663,-1.1976883,-0.4823751,-1.25093,1.0701697,-0.20927872,0.71888804,2.2612808,-1.9492102,-1.3016459,-1.499033,-1.1437062,1.2520136,-0.69103336,1.4973587,0.2589032,1.9463902,1.9375108,0.61768526,1.7495449,0.15412158,0.21456788,-0.95921254,-1.8458339,-1.4561602,1.146526,1.787946,1.3709085,1.0077385,-0.19536996,-1.0509357,-0.65856206,-1.4868362,0.8051436,-1.7567998,-0.813862,2.3899815,1.5038208,-0.7969455,1.6260414,1.6186746,0.14298505,2.4187813,0.5877942,-1.6643537,-0.87589633,0.30366418,1.6941044,-1.41042,-2.0656824,1.0527972,-1.5678548,0.9720449,1.2872974,1.8382854,-0.7487793,-0.9556885,1.4486349,0.4936881,-1.7311985,1.0843506,0.61390156,1.3072937
cell_15,2.620842,1.1126232,-0.90022975,0.33473018,-0.88266486,-0.67759997,1.1504966,-0.7643838,1.6050174,0.41376638,1.98073,0.38721883,-1.122278,0.79796535,0.64225596,1.1278365,-1.4489686,1.2943267,1.5625397,-0.1990219,-1.0489495,0.61804634,1.0582227,0.4510566,-0.05142817,0.30392277,-1.6858923,-0.10607097,1.3851771,-0.9979758,-0.7644077,-0.5228319,-1.344733,-0.13690391,0.5280757,0.2203911,1.2998545,1.0150331,0.9389901,1.6341299,-0.7854215,-1.4665606,1.6163604,1.1021466,-1.768672,-1.3087349,0.56942195,-1.0612198,0.5543216,-0.3177098,0.9911474,0.3301155,0.1338469,0.9292482,-1.3111379,0.9406736,-1.0381361,-0.80413073,-0.884115,-0.564613,0.8983558,-1.6568598,-1.4993716,0.97278255
cell_16,-0.13382317,-1.6997445,-2.4851067,-1.4262297,0.29669234,2.4749537,0.8582911,2.186154,-0.47161984,1.3100427,1.2461689,-2.804847,0.28512263,-0.40531185,-0.49325532,-0.83081806,0.24813542,1.4209429,0.6619697,1.7649965,1.3142403,-2.2467802,-0.20866607,1.993246,1.7092876,0.630186,0.34040123,1.1875747,0.9131922,-3.3992324,0.7374085,0.2211597,0.06902763,-0.19071372,1.2825295,0.6512237,-0.95499784,-2.4268336,-0.36325303,3.3473601,2.5777655,1.7187,2.288887,-0.34741396,-0.6987108,0.4215628,2.3937616,-0.4154462,0.19539815,1.6269027,-1.6701161,-1.5827986,-1.5802517,1.4099836,1.8160373,-0.51502824,-1.4565784,-1.965377,2.5600913,-0.82442904,1.1635187,-1.3452836,1.3619919,-1.9244181
cell_17,1.8187535,1.7441685,-0.66680926,0.56676507,-0.6172288,-0.91115904,1.5033991,-0.11584234,1.5724003,0.18218781,1.5716959,0.5946998,-1.2151474,0.68648887,0.8678448,1.4336369,-1.7472644,1.3740106,1.3776062,-0.10576795,-0.4077849,0.52226615,1.0808172,0.9513551,0.6152117,1.1871752,-1.1274163,0.042005118,2.0408313,-0.8502942,-0.9797028,-0.705054,-0.93495095,-0.121276826,0.34834746,0.21352068,1.142854,1.4947089,0.7946854,0.99774575,-0.48413306,-1.5019813,1.9306766,0.7170453,-1.2037921,-1.88322,0.62764716,-0.9819461,1.2507124,-0.68439114,1.0813743,0.5419021,0.1342295,0.69118994,-1.5332927,1.3349463,-1.2023085,-0.813824,0.010870576,-0.8718153,0.6006346,-1.2331023,-0.76433754,1.2166325
cell_18,0.70122963,-0.99839294,-1.2104372,2.1239476,-0.5231236,0.5773289,0.28028318,0.73740315,0.20146358,-0.8869597,1.1761634,-0.1315107,0.421657,0.39997825,2.382806,0.45811868,-0.48284274,-0.09937854,-0.31298625,-0.47868204,-2.8458693,-0.51446116,1.4978209,1.1354762,-0.68476677,1.1884879,0.8361356,-0.083701745,-1.2144135,-2.4220943,0.54313755,0.99199235,0.8539027,0.2837768,0.8136596,0.8566482,-0.22675031,-0.23747367,1.8180518,1.5673118,-1.533378,0.9348453,-0.78529656,1.9554682,-0.4989151,-0.6941352,-0.9599762,1.6319889,-0.4099946,-0.9032219,-2.050516,0.6967964,0.9541798,2.9474583,-0.09612225,1.6336673,-2.012562,-1.0278671,1.1472895,0.24448416,-1.1718366,0.65920967,-2.364992,1.9272017
cell_19,1.742623,1.7496043,1.6135501,0.15090309,-0.63358945,-0.9784626,0.87218744,1.940462,0.8856648,-0.7808471,0.90311164,-1.3452765,-0.122018136,-0.78690475,1.2013154,1.0875739,0.60980606,0.5083461,0.08546403,1.1504946,-1.1745276,-0.6293468,-0.42022407,-0.30223322,-0.2846273,-1.4583318,-2.0454738,2.4250627,-1.1994623,-1.398096,0.62009495,0.320179,1.1975485,1.0209376,-2.4135692,-0.02485764,-1.3404781,-0.42366824,0.5568172,-0.4312364,-0.48820084,0.30460662,-0.5850257,0.04085137,-1.4516389,-1.8412716,-0.49616924,0.9285268,-0.18494081,0.23379934,-1.4670368,0.4103368,-1.4695299,0.4193228,-2.2581313,-0.67888725,-0.17465298,-0.7511786,1.6899556,1.8350084,0.22946604,1.0139525,-1.5569115,-1.7932161
